  Fig   Protocol          File               Metric              Value        
 fig11   epaxos        FileRead-0      p92.60000000000133  620.5288688400407  
 fig11   epaxos        FileRead-0      p92.61000000000134  620.6640386554014  
 fig11   epaxos        FileRead-0      p92.62000000000134  620.6747129468015  
 fig11   epaxos        FileRead-0      p92.63000000000135  620.8869676288384  
 fig11   epaxos        FileRead-0      p92.64000000000135  621.1718438464384  
 fig11   epaxos        FileRead-0      p92.65000000000136  621.2167535890021  
 fig11   epaxos        FileRead-0      p92.66000000000136  621.2482631448489  
 fig11   epaxos        FileRead-0      p92.67000000000137  621.6082698476488  
 fig11   epaxos        FileRead-0      p92.68000000000137  621.9026642912048  
 fig11   epaxos        FileRead-0      p92.69000000000138  621.9380818796049  
 fig11   epaxos        FileRead-0      p92.70000000000138  621.9634062300009  
 fig11   epaxos        FileRead-0      p92.71000000000139  621.9706147790009  
 fig11   epaxos        FileRead-0      p92.72000000000139  622.0789640992285  
 fig11   epaxos        FileRead-0      p92.7300000000014   622.2831501128285  
 fig11   epaxos        FileRead-0      p92.7400000000014   622.3725915564046  
 fig11   epaxos        FileRead-0      p92.7500000000014   622.4052932650046  
 fig11   epaxos        FileRead-0      p92.76000000000141  622.4196432272015  
 fig11   epaxos        FileRead-0      p92.77000000000142  622.4300946744015  
 fig11   epaxos        FileRead-0      p92.78000000000142  622.4883959692083  
 fig11   epaxos        FileRead-0      p92.79000000000143  622.5417878968022  
 fig11   epaxos        FileRead-0      p92.80000000000143  622.5579649760024  
 fig11   epaxos        FileRead-0      p92.81000000000144  622.6088117434194  
 fig11   epaxos        FileRead-0      p92.82000000000144  622.7438124948196  
 fig11   epaxos        FileRead-0      p92.83000000000145  622.9643498820474  
 fig11   epaxos        FileRead-0      p92.84000000000145  623.2905211360472  
 fig11   epaxos        FileRead-0      p92.85000000000146  623.4380208980043  
 fig11   epaxos        FileRead-0      p92.86000000000146  623.4679362408043  
 fig11   epaxos        FileRead-0      p92.87000000000147  623.5459512374138  
 fig11   epaxos        FileRead-0      p92.88000000000147  623.6392589776137  
 fig11   epaxos        FileRead-0      p92.89000000000148  623.7809240750217  
 fig11   epaxos        FileRead-0      p92.90000000000148  623.9180149660025  
 fig11   epaxos        FileRead-0      p92.91000000000149  623.9343660914025  
 fig11   epaxos        FileRead-0      p92.9200000000015   623.9521544376034  
 fig11   epaxos        FileRead-0      p92.9300000000015   623.9748720754034  
 fig11   epaxos        FileRead-0      p92.9400000000015   624.0236165272136  
 fig11   epaxos        FileRead-0      p92.95000000000151  624.1145727460138  
 fig11   epaxos        FileRead-0      p92.96000000000151  624.1675905552031  
 fig11   epaxos        FileRead-0      p92.97000000000152  624.1879073314032  
 fig11   epaxos        FileRead-0      p92.98000000000152   624.212178800004  
 fig11   epaxos        FileRead-0      p92.99000000000153  624.2382044000041  
 fig11   epaxos        FileRead-0      p93.00000000000153  624.2440902800004  
 fig11   epaxos        FileRead-0      p93.01000000000154   624.246604750809  
 fig11   epaxos        FileRead-0      p93.02000000000155  624.3049530616089  
 fig11   epaxos        FileRead-0      p93.03000000000155  624.4793046705205  
 fig11   epaxos        FileRead-0      p93.04000000000156  625.2639461473217  
 fig11   epaxos        FileRead-0      p93.05000000000156  625.8434081440209  
 fig11   epaxos        FileRead-0      p93.06000000000157   625.977474684821  
 fig11   epaxos        FileRead-0      p93.07000000000157  626.4929466467489  
 fig11   epaxos        FileRead-0      p93.08000000000158  627.4367156905487  
 fig11   epaxos        FileRead-0      p93.09000000000158  627.8035080720036  
 fig11   epaxos        FileRead-0      p93.10000000000159  627.8266274800036  
 fig11   epaxos        FileRead-0      p93.11000000000159  627.8346763346005  
 fig11   epaxos        FileRead-0      p93.1200000000016   627.8385330032006  
 fig11   epaxos        FileRead-0      p93.1300000000016   627.8658549500046  
 fig11   epaxos        FileRead-0      p93.1400000000016    627.893230227202  
 fig11   epaxos        FileRead-0      p93.15000000000161   627.906125912002  
 fig11   epaxos        FileRead-0      p93.16000000000162   627.917328622401  
 fig11   epaxos        FileRead-0      p93.17000000000162   627.923434878801  
 fig11   epaxos        FileRead-0      p93.18000000000163  627.9271406876001  
 fig11   epaxos        FileRead-0      p93.19000000000163  627.9273201558001  
 fig11   epaxos        FileRead-0      p93.20000000000164  627.9353297520023  
 fig11   epaxos        FileRead-0      p93.21000000000164  627.9494746656023  
 fig11   epaxos        FileRead-0      p93.22000000000165  627.9582965572012  
 fig11   epaxos        FileRead-0      p93.23000000000165  627.9650106198011  
 fig11   epaxos        FileRead-0      p93.24000000000166  628.1524321520353  
 fig11   epaxos        FileRead-0      p93.25000000000166  628.3618946000087  
 fig11   epaxos        FileRead-0      p93.26000000000167  628.4137506080086  
 fig11   epaxos        FileRead-0      p93.27000000000167  628.4599211348035  
 fig11   epaxos        FileRead-0      p93.28000000000168  628.4807643872035  
 fig11   epaxos        FileRead-0      p93.29000000000168  628.5160815220107  
 fig11   epaxos        FileRead-0      p93.30000000000169  628.5796219400107  
 fig11   epaxos        FileRead-0      p93.3100000000017   628.6189951242025  
 fig11   epaxos        FileRead-0      p93.3200000000017   628.6336784424025  
 fig11   epaxos        FileRead-0      p93.3300000000017   628.6407135140005  
 fig11   epaxos        FileRead-0      p93.34000000000171  628.6436359720004  
 fig11   epaxos        FileRead-0      p93.35000000000171  628.6497371680011  
 fig11   epaxos        FileRead-0      p93.36000000000172  628.6566035888012  
 fig11   epaxos        FileRead-0      p93.37000000000172  628.6587732384004  
 fig11   epaxos        FileRead-0      p93.38000000000173  628.8610085806966  
 fig11   epaxos        FileRead-0      p93.39000000000173  630.5701796764962  
 fig11   epaxos        FileRead-0      p93.40000000000174  631.8211111000053  
 fig11   epaxos        FileRead-0      p93.41000000000174  631.8515149650053  
 fig11   epaxos        FileRead-0      p93.42000000000175  631.8982291268119  
 fig11   epaxos        FileRead-0      p93.43000000000175   631.966685672212  
 fig11   epaxos        FileRead-0      p93.44000000000176  632.0081733504039  
 fig11   epaxos        FileRead-0      p93.45000000000176   632.030472952004  
 fig11   epaxos        FileRead-0      p93.46000000000177   632.048410707203  
 fig11   epaxos        FileRead-0      p93.47000000000178  632.0648155104029  
 fig11   epaxos        FileRead-0      p93.48000000000178  632.1860836912236  
 fig11   epaxos        FileRead-0      p93.49000000000179  632.3134758740026  
 fig11   epaxos        FileRead-0      p93.50000000000179  632.3280231000026  
 fig11   epaxos        FileRead-0      p93.5100000000018   632.3826078862372  
 fig11   epaxos        FileRead-0      p93.5200000000018   632.5906343024375  
 fig11   epaxos        FileRead-0      p93.5300000000018   632.7331720790049  
 fig11   epaxos        FileRead-0      p93.54000000000181   632.760588422005  
 fig11   epaxos        FileRead-0      p93.55000000000182  632.7876782430048  
 fig11   epaxos        FileRead-0      p93.56000000000182   632.814464549605  
 fig11   epaxos        FileRead-0      p93.57000000000183  632.8250475586005  
 fig11   epaxos        FileRead-0      p93.58000000000183  632.8277905484005  
 fig11   epaxos        FileRead-0      p93.59000000000184  632.8521779142053  
 fig11   epaxos        FileRead-0      p93.60000000000184  632.8810115680053  
 fig11   epaxos        FileRead-0      p93.61000000000185  632.8934153666022  
 fig11   epaxos        FileRead-0      p93.62000000000185  632.9043941888007  
 fig11   epaxos        FileRead-0      p93.63000000000186  632.9081852512007  
 fig11   epaxos        FileRead-0      p93.64000000000186  632.9130575328014  
 fig11   epaxos        FileRead-0      p93.65000000000187  632.9204943480014  
 fig11   epaxos        FileRead-0      p93.66000000000187  632.9319649484031  
 fig11   epaxos        FileRead-0      p93.67000000000188  632.9483214958032  
 fig11   epaxos        FileRead-0      p93.68000000000188  633.0382938736259  
 fig11   epaxos        FileRead-0      p93.69000000000189  633.1757502488258  
 fig11   epaxos        FileRead-0      p93.70000000000189  633.5632882920879  
 fig11   epaxos        FileRead-0      p93.7100000000019   634.0282670836885  
 fig11   epaxos        FileRead-0      p93.7200000000019   634.0922442000054  
 fig11   epaxos        FileRead-0      p93.73000000000191  634.1191202238008  
 fig11   epaxos        FileRead-0      p93.74000000000191  634.1230094244007  
 fig11   epaxos        FileRead-0      p93.75000000000192  634.1347847500074  
 fig11   epaxos        FileRead-0      p93.76000000000192  634.1728808064073  
 fig11   epaxos        FileRead-0      p93.77000000000193  634.2052179440045  
 fig11   epaxos        FileRead-0      p93.78000000000193  634.2284024160044  
 fig11   epaxos        FileRead-0      p93.79000000000194  634.2580396174068  
 fig11   epaxos        FileRead-0      p93.80000000000194  634.2931324280069  
 fig11   epaxos        FileRead-0      p93.81000000000195  634.3131248472026  
 fig11   epaxos        FileRead-0      p93.82000000000195  634.3265692384026  
 fig11   epaxos        FileRead-0      p93.83000000000196  634.3438277666035  
 fig11   epaxos        FileRead-0      p93.84000000000196  634.3616503216015  
 fig11   epaxos        FileRead-0      p93.85000000000197  634.3691418990015  
 fig11   epaxos        FileRead-0      p93.86000000000197   634.377913942403  
 fig11   epaxos        FileRead-0      p93.87000000000198   634.393188800803  
 fig11   epaxos        FileRead-0      p93.88000000000198  634.4077282896026  
 fig11   epaxos        FileRead-0      p93.89000000000199  634.4207063888026  
 fig11   epaxos        FileRead-0       p93.900000000002   634.4284264480003  
 fig11   epaxos        FileRead-0       p93.910000000002   634.4303545112003  
 fig11   epaxos        FileRead-0       p93.920000000002   634.4335039152007  
 fig11   epaxos        FileRead-0      p93.93000000000201  634.4373660058008  
 fig11   epaxos        FileRead-0      p93.94000000000202  634.4397449664003  
 fig11   epaxos        FileRead-0      p93.95000000000202  634.4417229120004  
 fig11   epaxos        FileRead-0      p93.96000000000203  634.4490924840015  
 fig11   epaxos        FileRead-0      p93.97000000000203  634.4560636808001  
 fig11   epaxos        FileRead-0      p93.98000000000204  634.4563955072001  
